rank,fit,verdict,type,university,course,degree,universityCity,universityState,domainHits,focus,feePerYear,admissionSemester,admissionModus,detailUrl
"66","70","APPLY","University","University of Passau","Artificial Intelligence Engineering","Master of Science, Master","Passau","Bavaria","Applied Mathematics, Media Informatics, Artificial Intelligence, Applied Computer Science, Computer Engineering, Data Science","Algorithm Engineering and Mathematical Modelling, Artificial Intelligence Methods, Artificial Intelligence System Engineering, Artificial Intelligence Applications, Cross-Cutting Concerns","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-passau-artificial-intelligence-engineering-w64792/?hec-id=w64792"
"67","70","APPLY","University","University of Rostock","Computational Engineering","Master of Science, Master","Rostock","Mecklenburg-West Pomerania","Computer Engineering","Applied Mathematics, Computational Methods, Software Concepts, Data Management, Visualisation","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-rostock-computational-engineering-w7029/?hec-id=w7029"
"68","70","APPLY","University","University of Siegen","Quantum Science","Master of Science, Master","Siegen","North Rhine-Westphalia","Electrical Engineering, Mathematics, Computer Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-siegen-quantum-science-w68439/?hec-id=w68439"
"69","70","APPLY","University","University of Stuttgart","Computational Linguistics","Master of Science, Master","Stuttgart","Baden-Württemberg","Computational Linguistics, Computer Science","Computer Linguistics, Natural Language Processing, Natural Language Processing, Applied Linguistics, Computer Science, Programming","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computational-linguistics-w39397/?hec-id=w39397"
"70","70","APPLY","University","University of Stuttgart","Computer Science","Master of Science, Master","Stuttgart","Baden-Württemberg","Computer Science","Theoretical Computer Science, Visual Computing, Information Visualisation and Scientific Visualisation, Autonomous Systems, Robotics and Artificial Intelligence, Service Technology and Engineering, Business Process Management, Data Engineering, Information Security","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computer-science-w42091/?hec-id=w42091"
"71","70","APPLY","University","University of Ulm","Artificial Intelligence for Connected Industries (AI4CI)","Master, Master","Ulm","Baden-Württemberg","Electrical Engineering, Automation Technology, Robotics, Computer Science, Software Engineering","Systems and Networks, Automatics and Robots, Processes and Data Management","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-ulm-artificial-intelligence-for-connected-industries-ai4ci-w72793/?hec-id=w72793"
"72","70","APPLY","Hochschule","West Saxon University of Applied Sciences of Zwickau","Management and Information Technology","Master of Science (MSc), Master","Zwickau","Saxony","Information Systems and Management, Computer Science","","1000","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/west-saxon-university-of-applied-sciences-of-zwickau-management-and-information-technology-w70087/?hec-id=w70087"
"73","68","MAYBE","Hochschule","Hof University of Applied Sciences","Software Engineering for Industrial Applications","Master of Engineering, Master","Hof","Bavaria","Computer Engineering","Software Engineering, Project Management, Component-Oriented Development, Cloud Computing, Internet of Things, Mobile Computing, Non-Relational Databases, Industry 4.0","6300","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hof-university-of-applied-sciences-software-engineering-for-industrial-applications-w7790/?hec-id=w7790"
"74","66","MAYBE","Hochschule","Fachhochschule of Wedel","IT Engineering","Master of Science, Master","Wedel","Schleswig-Holstein","Engineering Informatics","IT Security, Cryptography, Robotics, Technical Optics, Manufacturing","5280","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fachhochschule-of-wedel-it-engineering-w49070/?hec-id=w49070"
"75","66","MAYBE","TU","Karlsruhe Institute of Technology (KIT)","Information Systems Engineering and Management","Master of Science, Master","Karlsruhe","Baden-Württemberg","Information Technology, Computer Science","IoT and (critical) digital infrastructure, Blockchain Technology, Software & Systems Engineering, Cloud Computing, Artificial Intelligence (AI) and Machine Learning, Big Data Management, Business Data Strategy and Analytics, IT Security and Privacy","15000","Admission only in the winter trimester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/karlsruhe-institute-of-technology-kit-information-systems-engineering-and-management-w64274/?hec-id=w64274"
"76","66","MAYBE","TU","Rhineland-Palatinate Technical University of Kaiserslautern-Landau","Software Engineering for Embedded Systems","Master of Engineering, Master","Kaiserslautern","Rhineland-Palatinate","Software Engineering","Project Management, Software Engineering, Software Development, Requirements Engineering, Product Line Engineering, Architectural Design, Software Testing, Component-based Software Development, Real-time Systems, Machine Learning","5100","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-software-engineering-for-embedded-systems-w21692/?hec-id=w21692"
"77","66","MAYBE","Private","University of Europe for Applied Sciences","Data Science","Master of Science degree, Master","Potsdam","Brandenburg","Data Science","Marketing, Entrepreneurship, Customer Relationship Management","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-europe-for-applied-sciences-data-science-w65199/?hec-id=w65199"
"78","66","MAYBE","Private","University of Europe for Applied Sciences","IoT Devices & Smart Services","Master of Science degree, Master","Potsdam","Brandenburg","Systems Engineering, Artificial Intelligence, Data Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-europe-for-applied-sciences-iot-devices-smart-services-w70240/?hec-id=w70240"
"79","64","MAYBE","Private","IU International University","DevOps and Cloud Computing","Master of Science, Master","Erfurt","Thuringia","Software Engineering","","6588","Admission in all quarters","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/iu-international-university-devops-and-cloud-computing-w67862/?hec-id=w67862"
"80","64","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Applied Data Science & Artificial Intelligence","Master of Science, Master","Hamburg, Heidelberg, Fürth","Hamburg, Baden-Württemberg","Computer Science","Data Management, Big Data, Data Protection, Data Analytics, Research and Ethics, Software Engineering & Programming (Full-Time)","9960","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-applied-data-science-artificial-intelligence-w59419/?hec-id=w59419"
"81","64","MAYBE","Private","SRH University of Applied Sciences Heidelberg","Computer Science - Big Data and Artificial Intelligence","Master of Science, Master","Berlin, Leipzig","Berlin, Saxony","Artificial Intelligence, Applied Computer Science, Computer Science, Data Science","Cloud Computing, Big Data, Artificial Intelligence, Machine Learning, Software Development, Programming","9000","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-computer-science-big-data-and-artificial-intelligence-w64006/?hec-id=w64006"
"82","62","MAYBE","Hochschule","Bielefeld University of Applied Sciences and Arts (HSBI)","Data Science (Research Master)","Master of Science, Master","Gütersloh","North Rhine-Westphalia","Statistics, Robotics, Artificial Intelligence, Applied Computer Science, Computer Science, Data Science","Data Science, Applied research","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bielefeld-university-of-applied-sciences-and-arts-hsbi-data-science-research-master-w70803/?hec-id=w70803"
"83","62","MAYBE","Hochschule","Rhine-Waal University of Applied Sciences","Information Engineering and Computer Science","Master of Science, Master","Kamp-Lintfort","North Rhine-Westphalia","Geoinformatics, Computer Science","Transport Industry, Software Engineering, IT-Based Logistics, Ambient Intelligence, Statistics, Environmental Informatics, Analysis and Monitoring, Information Systems, Data Acquisition and Data Analysis, Data Mining, Machine Learning","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhine-waal-university-of-applied-sciences-information-engineering-and-computer-science-w44338/?hec-id=w44338"
"84","62","MAYBE","Hochschule","Stuttgart University of Applied Sciences","Software Technology","Master of Science, Master","Stuttgart","Baden-Württemberg","Software Engineering, Computer Engineering","Software Development, Information Management, Computer Networks, Electronic Commerce","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/stuttgart-university-of-applied-sciences-software-technology-w5965/?hec-id=w5965"
"85","62","MAYBE","Hochschule","Technische Hochschule Köln","Digital Sciences","Master of Science, Master","Gummersbach, Köln","North Rhine-Westphalia","Computer Science, Data Science","IT Management, Business Information Systems, Software Architecture, Data and Information Science","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-koeln-digital-sciences-w64881/?hec-id=w64881"
"86","62","MAYBE","University","University of Hannover","Computer Science","Master of Science, Master","Hannover","Lower Saxony","Computer Science, Practical Computer Science, Software Engineering","Real-time systems and energy informatics, Information Retrieval and Intelligent Systems, IT Security and Human-Computer Interaction, Software Engineering and Simulation, System and Computer Architecture, Theoretical Computer Science, Visual Analytics and Knowledge-Based Systems, Computational Health Informatics, Databases and Information Systems, Data Science and Digital Libraries","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hannover-computer-science-w70166/?hec-id=w70166"
"87","62","MAYBE","University","University of Hildesheim","Software Engineering (International Master’s degree)","Master of Science, Master","Hildesheim","Lower Saxony","Artificial Intelligence, Applied Computer Science, Computer Science, Practical Computer Science, Software Engineering","Software Engineering, Software Architecture and Design, Requirements Engineering, Model-Based Software Engineering, Programming Languages and Tools","","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hildesheim-software-engineering-international-masters-degree-w71290/?hec-id=w71290"
"88","62","MAYBE","University","University of Marburg","Data Science","Master of Science, Master","Marburg","Hessen","Applied Mathematics, Computer Science, Data Science","Machine Learning, Software Development of Scalable Systems, Big - Data Technology, Statistical Data Analysis (Analytics), Scientific Computing","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-marburg-data-science-w53975/?hec-id=w53975"
"89","62","MAYBE","University","University of Marburg","Computer Science","Master of Science, Master","Marburg","Hessen","Computer Science, Software Engineering","Database Systems, Data bionics, Formal Methods, Graphics and Multimedia, Parallelism and programming languages, Programming languages ??and tools, Software Engineering, Distributed Systems","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-marburg-computer-science-w7728/?hec-id=w7728"
"90","62","MAYBE","University","University of Regensburg","Computer Science","Master of Science, Master","Regensburg","Bavaria","Mathematics, Practical Computer Science, Theoretical Computer Science","Software Engineering, Bioinformatics, Machine Learning, Explainable AI, Computer Architecture, Computer Networks, Data Engineering, Core Computer Science, Human-Centred Computing, Information Systems","","Summer and Winter Semester","Selection procedure / qualifying examination","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-computer-science-w73744/?hec-id=w73744"
"91","60","MAYBE","TU","Brandenburgische Technische Universität Cottbus-Senftenberg","Cyber Security","Master of Science, Master","Cottbus","Brandenburg","Applied Computer Science, Computer Science, Computer Engineering","Cryptography, IT Security Law, Pervasive System Security, Security of Resource-Constraint Systems, Neural Networks in Learning Theory","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/brandenburgische-technische-universitaet-cottbus-senftenberg-cyber-security-w58891/?hec-id=w58891"
"92","60","MAYBE","Hochschule","Mittweida University of Applied Sciences","Applied Mathematics for Network and Data Sciences","Master of Science, Master","Mittweida","Saxony","Applied Mathematics, Applied Computer Science","Cryptography, Mathematical Network Analysis, Computational Intelligence, Data Compression","214","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mittweida-university-of-applied-sciences-applied-mathematics-for-network-and-data-sciences-w41989/?hec-id=w41989"
"93","60","MAYBE","University","Ruhr University Bochum","Computational Engineering","Master of Science, Master","Bochum","North Rhine-Westphalia","Computer Science, Computer Engineering, Engineering Informatics","Finite Element Modelling and Simulation, Computer-Oriented Design, Computational Mechanics","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-computational-engineering-w6061/?hec-id=w6061"
"94","60","MAYBE","TU","RWTH Aachen University","Simulation Sciences","Master of Science, Master","Aachen","North Rhine-Westphalia","Computer Science","Methodology, Principles and Applications of Simulation Science","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-simulation-sciences-w29632/?hec-id=w29632"
"95","60","MAYBE","University","Saarland University","Language, Science and Technology","Master of Science, Master","Saarbrücken","Saarland","Computational Linguistics, Computer Science","Computational Linguistics, Computational Psycholinguistics, Language Technology, Phonetics and Speech Technology","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-language-science-and-technology-w7425/?hec-id=w7425"
"96","60","MAYBE","TU","Technical University of Darmstadt","Cognitive Science","Master of Science, Master","Darmstadt","Hessen","Computer Science","Cognitive Science","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-cognitive-science-w63850/?hec-id=w63850"
"97","60","MAYBE","TU","Technical University of Hamburg","Data Science","Master of Science, Master","Hamburg","Hamburg","Electrical Engineering, Mathematics, Engineering Informatics","Data Science, Computer Science, Statistical Methods, Computational Methods, Software Design, Speech Recognition, Object Recognition, Automation Systems","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-hamburg-data-science-w66982/?hec-id=w66982"
"98","60","MAYBE","Hochschule","Technische Hochschule Deggendorf","Artificial Intelligence and Data Science","Master of Science, Master","Deggendorf","Bavaria","Computer Science, Data Science","AI, Artificial intelligence (AI), Computational Intelligence, Advanced Data Storage and Analyses, Machine Learning","","Summer Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-artificial-intelligence-and-data-science-w64682/?hec-id=w64682"
"99","60","MAYBE","Hochschule","Technische Hochschule Deggendorf","High performance computing / quantum computing","Master of Science, Master","Deggendorf","Bavaria","Computer Engineering","Quantum Algorithms, Real-time Computing","","Summer Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-high-performance-computing-quantum-computing-w64732/?hec-id=w64732"
"100","60","MAYBE","Hochschule","Technische Hochschule Köln","Automation and IT","Master of Engineering, Master","Gummersbach","North Rhine-Westphalia","Electrical Engineering, Automation Technology, Artificial Intelligence, Computer Science","Automation and Control Technology, Modelling and Simulation, Industrial Information and Communication Systems, IT Security, Engineering und Robotics","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-koeln-automation-and-it-w23207/?hec-id=w23207"
"101","60","MAYBE","TU","TU Dortmund University","Data Science in Sports and Health","Master of Science, Master","Dortmund","North Rhine-Westphalia","Applied Mathematics, Statistics, Applied Computer Science","Sports Science, Sports Medicine, Kinesiology, Training Science, Statistics, Mathematics, Computer Science","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/tu-dortmund-university-data-science-in-sports-and-health-w73395/?hec-id=w73395"
"102","60","MAYBE","Hochschule","University of Applied Sciences Neu-Ulm","Digital Leadership in Information Management","Master of Science (M.Sc.), Master","Neu-Ulm","Bavaria","Technology Management, Artificial Intelligence, Applied Computer Science","","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-neu-ulm-digital-leadership-in-information-management-w77134/?hec-id=w77134"
"103","60","MAYBE","University","University of Erlangen-Nuremberg","Computational Engineering","Master of Science, Master","Erlangen","Bavaria","Electrical Engineering, Engineering Informatics","Computer Science, Mathematics, Mechatronics, Optics and Photonics, Information Technology, Thermal and Fluid Dynamics, Solid State Mechanics and Dynamics, Computational Materials Science, Medical Technology, Automatic Control Technology","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-computational-engineering-w6164/?hec-id=w6164"
"104","60","MAYBE","University","University of Erlangen-Nuremberg","Data Science of Human Multimodal Communication (MULTICOM)","Master of Arts, Master","Erlangen","Bavaria","Applied Computer Science, Data Science","","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-data-science-of-human-multimodal-communication-multicom-w76998/?hec-id=w76998"
"105","60","MAYBE","University","University of Greifswald","Data Science","Master of Science, Master","Greifswald","Mecklenburg-West Pomerania","Data Science","","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-greifswald-data-science-w70182/?hec-id=w70182"
"106","60","MAYBE","University","University of Koblenz","Web and Data Science","Master of Science, Master","Koblenz","Rhineland-Palatinate","Computer Science","Web Science, Network Theory, Semantic Web, Social Web, Web Engineering, Online Consumer Behaviour","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-koblenz-web-and-data-science-w39452/?hec-id=w39452"
"107","60","MAYBE","University","University of Magdeburg","Visual Computing","Master, Master","Magdeburg","Saxony-Anhalt","Computer Science","Visualization, Computer Graphics, Computer Vision, Augmented Reality, Virtual Reality, Medical Image Processing, Autonomous Driving, Game Development","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-visual-computing-w65043/?hec-id=w65043"
"108","60","MAYBE","University","University of Oldenburg","Data Science and Machine Learning","Master of Science, Master","Oldenburg","Lower Saxony","Data Science","Machine Learning, Deep Learning, Data Science, Medical Data Analysis, Statistical Learning, Signal Processing, Data Ethics, Clinical Decision Support","","Winter Semester only","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-oldenburg-data-science-and-machine-learning-w73210/?hec-id=w73210"
"109","60","MAYBE","University","University of Potsdam","Bioinformatics","Master of Science, Master","Potsdam","Brandenburg","Bioinformatics, Computer Science","","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-bioinformatics-w24840/?hec-id=w24840"
"110","60","MAYBE","University","University of Siegen","Computer Science","Master of Science, Master","Siegen","North Rhine-Westphalia","Computer Science","Embedded Systems, Visual Computing, Complex and Intelligent Software Systems, Medical Informatics","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-siegen-computer-science-w61896/?hec-id=w61896"
"111","60","MAYBE","University","University of Siegen","Engineering of Hydro-environmental Extremes","Master of Science, Master","Siegen","North Rhine-Westphalia","Computer Science","","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-siegen-engineering-of-hydro-environmental-extremes-w70345/?hec-id=w70345"
"112","60","MAYBE","University","University of Wuppertal","Computer Simulation in Science","Master of Science, Master","Wuppertal","North Rhine-Westphalia","Practical Computer Science, Theoretical Computer Science","Atmospheric Physics, Computational Electromagnetics, Computational Fluid Mechanics, Theoretical Particle Physics, Imaging in Medicine, Computational Finance, Detector Physics, Molecular and Materials Modelling","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-wuppertal-computer-simulation-in-science-w7604/?hec-id=w7604"
"113","58","MAYBE","University","German International University","Media Engineering and Technology","Master of Science, Master","Berlin","Berlin","Media Informatics, Computer Science","","7430","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/german-international-university-media-engineering-and-technology-w71907/?hec-id=w71907"
"114","58","MAYBE","Hochschule","Heilbronn University","Software Engineering","Master of Science, Master","Heilbronn","Baden-Württemberg","Information Systems and Management, Artificial Intelligence, Practical Computer Science, Software Engineering, Data Science","IT Management, Advanced Software Engineering & Data Science, Human-Computer Interaction","3000","Summer and Winter Semester","Local admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/heilbronn-university-software-engineering-w15232/?hec-id=w15232"
"115","56","MAYBE","TU","RWTH Aachen University","Applied Health Informatics and Digital Medicine","Master of Science, Master","Aachen","North Rhine-Westphalia","Medical Informatics, Computer Science","Health Informatics, Digital Transformation, Data Management, Data Integration & Interoperability, Biostatistics & Ethics, Legal and Social Dimensions of Biomedical Informatics, Digital Health Applications, Machine Learning, Signal & Image Process, Innovations Management, Business Administration and Health Economics","13300","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-applied-health-informatics-and-digital-medicine-w64193/?hec-id=w64193"
"116","56","MAYBE","University","Saarland University","Language and Communication Technologies M.Sc./M.A.","Master of Science / Master of Arts, Master","Saarbrücken","Saarland","Computational Linguistics, Computer Science","Computer Linguistics, Theoretical Linguistics, Computer Science, Language Technology","4000","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-language-and-communication-technologies-mscma-w43856/?hec-id=w43856"
"117","56","MAYBE","TU","Technical University of Darmstadt","Logistics and supply chain management","Master of Science, Master","Darmstadt","Hessen","Artificial Intelligence","Logistics Management, Transport Management, Strategic and Tactical Production Management, Supply Chain Management, Simulation of Supply Chains, Corporate Finance, Digital Transformation, Artificial Intelligence, International Trade and Investment","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-logistics-and-supply-chain-management-w64325/?hec-id=w64325"
"118","56","MAYBE","Hochschule","Technische Hochschule Deggendorf","Automotive Software Engineering","Bachelor of Engineering, Master","Deggendorf","Bavaria","Artificial Intelligence","Automotive Computer Science, Software Engineering, Software-defined vehicle, Securecar, Autonomous driving, Driver Assistance Systems, Artificial Intelligence","","Summer Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-automotive-software-engineering-w71054/?hec-id=w71054"
"119","56","MAYBE","University","University of Erlangen-Nuremberg","International Information Systems","Master of Science, Master","Erlangen, Erlangen","Bavaria","Information Systems and Management","Managing Enterprise-wide IT Architectures, Managing IT-enabled Business, Managing Global Projects & Information Technology, IT-enabled Innovation & Value Creation, IT-enabled Processes & Services, Foundations in Data Base Systems, Basics in Software Engineering","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-international-information-systems-w22630/?hec-id=w22630"
"120","56","MAYBE","University","University of Erlangen-Nuremberg","Artificial Intelligence","Master of Science, Master","Erlangen","Bavaria","Artificial Intelligence","Computer Science, Symbolic AI, Subsymbolic AI, AI Systems & Applications","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-artificial-intelligence-w64654/?hec-id=w64654"
"121","56","MAYBE","University","University of Koblenz","E-Government","Master of Science, Master","Koblenz","Rhineland-Palatinate","Information Systems and Management","Computer Science, Business Informatics, Administrative Computer Science","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-koblenz-e-government-w40009/?hec-id=w40009"
"122","56","MAYBE","University","University of Osnabrück","Cognitive Science","Master of Science, Master","Osnabrück","Lower Saxony","Computational Linguistics, Artificial Intelligence","a) Cognition: Artificial Intelligence and Machine Learning, b) Cognition: (Computational) Neuroscience, c) Cognition: Psychology, Language and Communication, d) Cognition: Mind, Ethics and Society","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-osnabrueck-cognitive-science-w6156/?hec-id=w6156"
"123","56","MAYBE","University","University of Osnabrück","European Technology Law","Master of Laws, Master","Osnabrück","Lower Saxony","Artificial Intelligence, Data Science","","2430","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-osnabrueck-european-technology-law-w73590/?hec-id=w73590"
"124","56","MAYBE","University","University of Passau","Business Informatics (Information Systems)","Master of Science, Master","Passau","Bavaria","Information Systems and Management","Artificial Intelligence and Data-Driven Business (major or minor), Information Systems Management (major or minor), Economics (minor), Entrepreneurship (minor), Finance (minor), Marketing (minor), Reporting and Controlling (minor), Sustainability","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-passau-business-informatics-information-systems-w39354/?hec-id=w39354"
"125","56","MAYBE","University","University of Siegen","Human-Computer Interaction","Master of Science, Master","Siegen","North Rhine-Westphalia","Information Systems and Management","Interaction Techniques, Interface Design, User-Centered Processes, Usability Standards, Qualitative Analysis","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-siegen-human-computer-interaction-w29058/?hec-id=w29058"
"126","56","MAYBE","University","University of Trier","Data Science","Master of Science, Master","Trier","Rhineland-Palatinate","Information Systems and Management","Computer Science, Mathematics, Statistics","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-trier-data-science-w61588/?hec-id=w61588"
"127","56","MAYBE","University","University of Ulm","Pharmaceutical and Molecular Biotechnology","Master, Master","Ulm","Baden-Württemberg","Bioinformatics, Artificial Intelligence","Protein-, RNA- und zellbasierte Therapien, Bioprozessentwicklung, Wirkstoffentwicklung, Modellierung und Bioinformatik, Anwendung von KI-Methoden","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-ulm-pharmaceutical-and-molecular-biotechnology-w77922/?hec-id=w77922"
"128","56","MAYBE","Hochschule","Weihenstephan-Triesdorf University of Applied Sciences","Digital Farming","Master of Science, Master","Freising","Bavaria","Artificial Intelligence","","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/weihenstephan-triesdorf-university-of-applied-sciences-digital-farming-w72392/?hec-id=w72392"
"129","54","MAYBE","Private","Gisma University of Applied Sciences","Data Science, AI and Digital Business","Master of Science, Master","Potsdam","Brandenburg","Technology Management, Information Systems and Management, Artificial Intelligence, Data Science","Data Science and AI, Digital Business Competencies, Leadership, Action and Intercultural Competencies, Study abroad or Internship or Business Project, Scientific and Methods Competencies, Project Management","8125","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/gisma-university-of-applied-sciences-data-science-ai-and-digital-business-w64772/?hec-id=w64772"
"130","54","MAYBE","Private","Gisma University of Applied Sciences","Computer Science","Master of Engineering, Master","Potsdam","Brandenburg","Applied Computer Science, Computer Science","","8125","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/gisma-university-of-applied-sciences-computer-science-w67238/?hec-id=w67238"
"131","54","MAYBE","Private","Gisma University of Applied Sciences","Business Management & Cybersecurity","Master of Science, Master","Potsdam","Brandenburg","Applied Computer Science, Computer Science","","8125","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/gisma-university-of-applied-sciences-business-management-cybersecurity-w67239/?hec-id=w67239"
